"","county","agegp","edugp","ideal","intend","npop"
"16946",511325,"35-49","secondary",2.0703555837165,1.82133003901856,25846.5791999618
"16947",511325,"35-49","hs and above",2.01491739268908,1.61422054425919,7928.29875680494
"16948",511381,"15-24","primary and below",1.85215787832137,1.78707883259591,24321.5729526733
"16949",511381,"15-24","secondary",1.73690485515432,1.54356971773052,16992.2229821411
"16950",511381,"15-24","hs and above",1.68659578510183,1.39702632083619,6225.20406518551
"16951",511381,"25-34","primary and below",1.90477454268237,1.96841022854696,18000.08206302
"16952",511381,"25-34","secondary",1.83093445195949,1.72929531114778,12575.7247981799
"16953",511381,"25-34","hs and above",1.76227550752841,1.53798294411503,4607.19313880018
"16954",511381,"35-49","primary and below",1.96198517848317,1.75299556547213,53594.5370375954
"16955",511381,"35-49","secondary",1.86791431406652,1.57803305420844,37443.7264291882
"16956",511381,"35-49","hs and above",1.84334529917387,1.38519194308662,13717.7365332164
"16957",511402,"15-24","primary and below",1.87588987639986,1.61508526363872,26391.9892932688
"16958",511402,"15-24","secondary",1.76776959321153,1.41112102570062,24914.8835154009
"16959",511402,"15-24","hs and above",1.70925509876778,1.23742083330296,11588.1271913303
"16960",511402,"25-34","primary and below",1.98170057860934,1.76931739685516,21134.572426183
"16961",511402,"25-34","secondary",1.8464333869224,1.57246721837896,19951.7135406102
"16962",511402,"25-34","hs and above",1.81851745929705,1.3829722391674,9279.7140332068
"16963",511402,"35-49","primary and below",2.01062216136439,1.65126782336427,53295.4951609632
"16964",511402,"35-49","secondary",1.92116058861921,1.42235069903872,50312.6550665005
"16965",511402,"35-49","hs and above",1.86676385620418,1.19418630554119,23400.8497725363
"16966",511421,"15-24","primary and below",1.84649470549534,1.83050574787977,50005.6065634488
"16967",511421,"15-24","secondary",1.74789513560432,1.58371834347891,36174.6021303106
"16968",511421,"15-24","hs and above",1.72474855557883,1.47425871120741,10325.7913062407
"16969",511421,"25-34","primary and below",1.98085133647922,1.95961287654777,30290.1140123881
"16970",511421,"25-34","secondary",1.8945152605106,1.73803292773243,21912.1994148712
"16971",511421,"25-34","hs and above",1.82490573483654,1.58283924285067,6254.68657274067
"16972",511421,"35-49","primary and below",1.99488557106121,1.79245374102261,82677.7048397394
"16973",511421,"35-49","secondary",1.92640499625195,1.58329824685857,59809.9549863465
"16974",511421,"35-49","hs and above",1.85124591474415,1.44770537460298,17072.3401739142
"16975",511422,"15-24","primary and below",1.59941580237815,1.49616014239679,9236.95131072953
"16976",511422,"15-24","secondary",1.52446981921485,1.22636938255511,7662.65499147779
